Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 37482
Event count: 11847742602

Overhead  Command          Shared Object                                                                                                                 Symbol
0.12%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                void scudo::releaseFreeMemoryToOS<scudo::RegionReleaseRecorder<scudo::MemMapLinux>, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long)>(scudo::PageReleaseContext&, scudo::RegionReleaseRecorder<scudo::MemMapLinux>&, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long))
0.12%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe761a8e614]
0.12%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760829a08]
0.12%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    std::__ndk1::mutex::lock()
0.11%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    @plt
0.11%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::pushBlocksImpl(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>*, unsigned long, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned int*, unsigned int, bool)
0.11%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760d70a48]
0.11%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::PageTracker::garbage_collect_texture_masked_handles(std::__ndk1::vector<ParallelGS::CachedTextureMasked, std::__ndk1::allocator<ParallelGS::CachedTextureMasked>>&)
0.11%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760b86c84]
0.10%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
0.10%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                __aarch64_swp2_acq
0.10%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760dd6c20]
0.10%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe761a79608]
0.10%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSRenderer::flush_rendering(ParallelGS::RenderPass const&)
0.09%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::pushBlocks(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>*, unsigned long, unsigned int*, unsigned int)
0.09%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    Vulkan::CommandBuffer::flush_compute_state(bool)
0.09%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSRenderer::create_cached_texture(ParallelGS::TextureDescriptor const&)
0.09%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                pthread_getspecific
0.09%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                syscall
0.09%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GS::recordGifTagDebugEventUnlocked(unsigned int, unsigned int, unsigned char, unsigned int)
0.09%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760dd6c84]
