# line addr width value pc thread ra copies; identical-run grouping only, not a RAM guest-store count
3073 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3074 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3076 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3078 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3080 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3084 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3085 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3087 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3089 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3091 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3095 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3096 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3098 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3100 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3102 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3106 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3107 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3109 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3111 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3113 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3117 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3118 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3120 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3122 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3124 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3128 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3129 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3131 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3133 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3135 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3139 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3140 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3142 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3144 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3146 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3152 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3153 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3155 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3158 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3160 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3164 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3165 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3167 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3169 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3171 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3176 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3177 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3179 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3181 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3183 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3187 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3188 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3190 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3192 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3194 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3198 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3199 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3201 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3203 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3205 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3209 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
