Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 148317
Event count: 126658118938

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
0.13%     VU1Interpreter::broadcast(float const*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.13%     [kernel.kallsyms][+ffffffe760a15520]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.13%     [kernel.kallsyms][+ffffffe760b98830]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.13%     [kernel.kallsyms][+ffffffe760b99edc]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.12%     PS2Runtime::dispatchGuestBranch(unsigned char*, R5900Context*, unsigned int, unsigned int, unsigned int, PS2Runtime::GuestBranchKind, char const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.11%     EeScheduler::checkpointDue(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.11%     VU1Interpreter::readBranchVi(unsigned char) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.11%     [kernel.kallsyms][+ffffffe760dd6c84]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.11%     !!!0000!a0d82c13dd4b4e4f31b6cd30a2cb0d!a9ee82cd83!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /vendor/lib64/egl/libGLESv2_adreno.so
0.10%     sub_0037E120_0x37e120(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.10%     [kernel.kallsyms][+ffffffe7611d5040]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.10%     __sfvwrite                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            /apex/com.android.runtime/lib64/bionic/libc.so
0.09%     VU1Interpreter::decodeLowerUsage(unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
