[  561.2560] Bios    :   thbase.040: SysClock2USec (1f33a0, 1f33ac, 1f33b0, 37538f3)
[  561.2560] Bios    :   sifcmd.020: sceSifGetNextRequest (68000, 0, f4240, 1f33b0)
[  561.2560] Bios    :  intrman.017: CpuSuspendIntr (1f3370, 0, f4240, 1f33b0)
[  561.2560] Bios    :  intrman.018: CpuResumeIntr (1, 0, f4240, 1f33b0)
[  561.2561] Bios    : Bios call: RFU005 (5)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2240, 0, ffffffff, 625e4)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2242, 0, 0, 500c)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2244, 0, c0000, ed0a)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2246, 681a62c0, 0, 5002)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2248, 0, 1a0000, 7fec)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (224a, 0, 0, 5006)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (224c, 0, 0, 500a)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (224e, 0, 0, 5002)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2250, 699a31c0, 0, 500a)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2252, 0, 1a0000, 50ca)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2254, 0, 0, 500e)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2256, 0, 0, 500a)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2258, 0, 0, 5006)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (225a, 0, 0, 5002)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (225c, 0, 0, 5006)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (225e, 0, 0, 5004)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2260, 0, 0, 500c)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2262, 691a31c0, 0, 5002)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2264, 0, 1a0000, 50ca)
[  561.2561] Bios    :    libsd.010: sceSdGetAddr (2266, 0, 0, 5008)
