[  458.0187] Bios    :  intrman.018: CpuResumeIntr (1, 97410, 0, 105f33d4)
[  458.0187] Bios    :  thevent.006: SetEventFlag (12e821d, 80, 5, 4fba8)
[  458.0187] Bios    :  intrman.023: QueryIntrContext (12e821d, 80, 5, 4fba8)
[  458.0187] Bios    :  intrman.017: CpuSuspendIntr (1e7720, 80, 5, 4fba8)
[  458.0187] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  458.0187] Bios    :  thevent.010: WaitEventFlag (12e821d, 1100, 1, 1e7730)
[  458.0187] Bios    :  intrman.023: QueryIntrContext (12e821d, 1100, 1, 1e7730)
[  458.0187] Bios    :  intrman.017: CpuSuspendIntr (1e76b8, 1100, 1, 1e7730)
[  458.0187] Bios    :  thevent.010: WaitEventFlag (12f0c19, 1004, 1, 1f0290)
[  458.0187] Bios    :  intrman.023: QueryIntrContext (12f0c19, 1004, 1, 1f0290)
[  458.0187] Bios    :  intrman.017: CpuSuspendIntr (1f0218, 1004, 1, 1f0290)
[  458.0194] Bios    : Bios call: iSignalSema (43)
[  458.0194] Bios    : Bios call: RFU005 (5)
[  458.0195] Bios    : Bios call: WaitSema (44)
[  458.0310] Bios    : Bios call: RFU005 (5)
[  458.0319] Bios    : Bios call: RFU005 (5)
[  458.0320] Bios    : Bios call: RFU005 (5)
[  458.0320] Bios    : Bios call: RFU005 (5)
[  458.0320] Bios    : Bios call: RFU005 (5)
[  458.0320] Bios    : Bios call: RFU005 (5)
[  458.0321] Bios    : Bios call: RFU005 (5)
[  458.0321] Bios    : Bios call: RFU005 (5)
[  458.0321] Bios    : Bios call: RFU005 (5)
[  458.0322] Bios    : Bios call: SignalSema (42)
[  458.0322] Bios    : Bios call: WaitSema (44)
[  458.0322] Bios    : Bios call: RFU005 (5)
[  458.0322] Bios    : Bios call: iSignalSema (43)
[  458.0322] Bios    :  thevent.007: iSetEventFlag (25dd05, 4, 80000000, 1395c)
[  458.0322] Bios    :  intrman.023: QueryIntrContext (25dd05, 4, 80000000, 1395c)
[  458.0322] Bios    : Bios call: RFU005 (5)
[  458.0322] Bios    : Bios call: RFU005 (5)
[  458.0322] Bios    :  thevent.007: iSetEventFlag (25dd05, 8, 80000000, 1395c)
[  458.0322] Bios    :  intrman.023: QueryIntrContext (25dd05, 8, 80000000, 1395c)
[  458.0322] Bios    :  thevent.009: iClearEventFlag (25dd05, fffffff9, 80000000, 1395c)
[  458.0322] Bios    :  intrman.023: QueryIntrContext (25dd05, fffffff9, 80000000, 1395c)
[  458.0322] Bios    : Bios call: SignalSema (42)
[  458.0322] Bios    : Bios call: WaitSema (44)
[  458.0322] Bios    : Bios call: PollSema (45)
[  458.0323] Bios    : Bios call: GetThreadId (2f)
[  458.0323] Bios    : Bios call: WaitSema (44)
[  458.0323] Bios    : Bios call: GetThreadId (2f)
[  458.0323] Bios    : Bios call: SignalSema (42)
[  458.0324] Bios    :   thbase.026: iWakeupThread (711a23, 0, 0, 1)
[  458.0324] Bios    :  intrman.023: QueryIntrContext (711a23, 0, 0, 1)
[  458.0324] Bios    :    libsd.020: sceSdBlockTransStatus (0, 0, 5, bbe5ca33)
[  458.0324] Bios    :   thbase.025: WakeupThread (712821, 1, 107400, 107400)
[  458.0324] Bios    :  intrman.023: QueryIntrContext (712821, 1, 107400, 107400)
[  458.0325] Bios    :  intrman.017: CpuSuspendIntr (1f1ea8, 1, 107400, 107400)
[  458.0325] Bios    :  intrman.018: CpuResumeIntr (1, 38940, 78, f)
[  458.0325] Bios    :   thbase.024: SleepThread (1, 38940, 78, f)
[  458.0325] Bios    :  intrman.023: QueryIntrContext (1, 38940, 78, f)
[  458.0325] Bios    :  intrman.017: CpuSuspendIntr (1f1eb0, 38940, 78, f)
[  458.0325] Bios    :   thbase.034: GetSystemTime (1f33a0, ac000000, 0, 2e7ad30)
[  458.0325] Bios    :  intrman.014:  (115f8, 1f33a0, 0, 2e7ad30)
[  458.0325] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 0, 2e7ad30, 2e7ad30)
[  458.0325] Bios    :   thbase.040: SysClock2USec (1f33a0, 1f33ac, 1f33b0, 2e7ad30)
[  458.0325] Bios    :   sifcmd.020: sceSifGetNextRequest (68000, 0, f4240, 1f33b0)
[  458.0325] Bios    :  intrman.017: CpuSuspendIntr (1f3370, 0, f4240, 1f33b0)
[  458.0325] Bios    :  intrman.018: CpuResumeIntr (1, 0, f4240, 1f33b0)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2240, 0, ffffffff, 625e4)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2242, 0, 0, 500a)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2244, 0, 0, 500a)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2246, 0, 0, 5002)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2248, 0, 0, 5002)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (224a, 0, 0, 500a)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (224c, 0, 0, 500a)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (224e, 0, 0, 5006)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2250, 0, 0, 5006)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2252, 0, 0, 5006)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2254, 0, 0, 5006)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2256, 0, 0, 500a)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2258, 0, 0, 500a)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (225a, 0, 0, 5008)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (225c, 0, 0, 5008)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (225e, 0, 0, 5006)
[  458.0326] Bios    :    libsd.010: sceSdGetAddr (2260, 0, 0, 5006)
[  458.0327] Bios    :    libsd.010: sceSdGetAddr (2262, 0, 0, 500e)
[  458.0327] Bios    :    libsd.010: sceSdGetAddr (2264, 0, 0, 500e)
[  458.0327] Bios    :    libsd.010: sceSdGetAddr (2266, 0, 0, 5008)
[  458.0327] Bios    :    libsd.010: sceSdGetAddr (2268, 0, 0, 5008)
[  458.0327] Bios    :    libsd.010: sceSdGetAddr (226a, 0, 0, 5004)
[  458.0327] Bios    :    libsd.010: sceSdGetAddr (226c, 0, 0, 5004)
