A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 4200 | d9564764/eee40d4c | 7eaa4aac/991e3a4c | 864b1ce/643fcfb7 | 702216/632969 | 25176/24730 | 512x448/512x448 | MISMATCH (extra) |
| 4250 | 9cdd1124/b15bc9ea | 743e9f5e/f398edbe | ee7fea2f/5d3b6349 | 743016/650566 | 25586/24985 | 512x448/512x448 | MISMATCH (extra) |
| 4300 | 4b727d57/56fc538c | 401c8ca8/bf76db08 | a9bc6d47/c043bfc3 | 784836/667746 | 26005/25245 | 512x448/512x448 | MISMATCH (extra) |
| 4350 | e7c740e5/25e6bde5 | 8a5a88ba/8a5a88ba | ec45e68c/58673cc8 | 825637/685343 | 26420/25500 | 512x448/512x448 | MISMATCH (extra) |
| 4400 | d9ca287b/6a3b240c | 9a07afcf/b47b9f6f | 5fa77de1/f72de36b | 867456/702523 | 26834/25760 | 512x448/512x448 | MISMATCH (extra) |
| 4450 | cba6545c/107084dd | 89c64121/a43a30c1 | 843da461/bab93eef | 909276/720120 | 27253/26015 | 512x448/512x448 | MISMATCH (extra) |
| 4500 | 108e0913/281f143b | 55a42e6b/d4fe7ccb | 307fd506/30389d80 | 950076/737300 | 27663/26275 | 512x448/512x448 | MISMATCH (extra) |
| 4550 | d896c4b5/b045e206 | 3f8cfc5d/bee74abd | 870549fa/aede0318 | 991896/754897 | 28082/26530 | 512x448/512x448 | MISMATCH (extra) |
| 4600 | 121a2878/18119a6b | b9572337/b9572337 | 420e9f39/d4820d18 | 1032697/772077 | 28497/26790 | 512x448/512x448 | MISMATCH (extra) |
| 4650 | 56dd2f92/98c449ec | a83ff738/c2b3e6d8 | fe5631fb/1352ad1c | 1074516/789674 | 28911/27045 | 512x448/512x448 | MISMATCH (extra) |
| 4700 | dbbf0cc2/77fd8be6 | f4d89cee/f0476c4e | 6f7771fc/7a42f351 | 1116336/806854 | 29330/27305 | 512x448/512x448 | MISMATCH (extra) |
| 4750 | 18ab083b/8cde3ba9 | 69b23934/e90c8794 | 227cb25f/f816fd7c | 1157136/824451 | 29740/27560 | 512x448/512x448 | MISMATCH (extra) |
| 4800 | f273f633/eac48bea | 68b3d37a/e80e21da | 93879ae2/a8bd3af1 | 1198956/841631 | 30159/27820 | 512x448/512x448 | MISMATCH (extra) |
| 4850 | 2a21cdbd/d872749b | 99ad6be0/380cda80 | 74ad2513/e346f920 | 1239756/859228 | 30569/28075 | 512x448/512x448 | MISMATCH (extra) |
| 4900 | 4d1b44f6/bca292d4 | a603eb1/24d42e51 | 2fe62bd1/5869c2a3 | 1281576/876408 | 30988/28335 | 512x448/512x448 | MISMATCH (extra) |
